| instrument | last_price | lowest_24hr | highest_24hr |
| ---------- | ---------- | ----------- | ------------ |
| USD_BTC    | 44335.55   | 43630.61    | 46444        |
| USD_ETH    | 3198.48    | 3131.91     | 3425.69      |
| IDR_BTC    | 638398442  | 623720666   | 675000000    |
| IDR_ETH    | 46043152   | 44823175    | 49295320     |
| USD_XRP    | 1.04838    | 1.0278      | 1.12616      |
| USD_LTC    | 179.45     | 171.138     | 230.068      |
| AUD_BTC    | 60216.891  | 59138.821   | 63304.452    |
| AUD_ETH    | 4349.396   | 4252.918    | 4656.866     |
| AUD_XRP    | 1.42229    | 1.4002      | 1.53159      |
| AUD_LTC    | 244.012    | 233.118     | 314.35       |
| IDR_XRP    | 15117.2    | 14794.5     | 16171.3      |
| IDR_LTC    | 2585162    | 2357996     | 3197963      |
| THB_BTC    | 1482000    | 1461000     | 1567597.91   |
| THB_ETH    | 107022     | 105000      | 114400.97    |
| THB_XRP    | 35.41999   | 34.45802    | 37.5         |
| THB_LTC    | 5996       | 5750.001    | 6919.989     |
| SGD_BTC    | 59545.78   | 58688       | 62731.85     |
| SGD_ETH    | 4284       | 4200        | 4602.93      |
| SGD_XRP    | 1.40377    | 1.38079     | 1.50971      |
| SGD_LTC    | 241.604    | 230         | 278.362      |
| USD_BCH    | 612.36     | 598.56      | 657.83       |
| AUD_BCH    | 833.31     | 810.24      | 891.05       |
| IDR_BCH    | 8815224    | 8589087     | 9410743      |
| THB_BCH    | 20491.84   | 19800       | 22000        |
| USD_GOLD   | 57.87      | 0           | 0            |
| IDR_AAPL   | 2152889    | 2131590     | 2169368      |
| IDR_GOOGL  | 40941650   | 40175534    | 41113114     |
| IDR_AMZN   | 49723140   | 49435453    | 50369696     |
| IDR_FB     | 5400982    | 5373926     | 5511620      |
| SGD_BCH    | 823.3      | 800         | 881.34       |
| IDR_NFLX   | 8457603    | 8361804     | 8683438      |
| IDR_IDRT   | 1.0013     | 0           | 0            |
| TST2_TST1  | 296622.83  | 0           | 0            |
| IDR_USDT   | 14422      | 14336       | 14425        |
| THB_USDT   | 33.4901    | 33.1101     | 33.55        |
| USD_USDT   | 1.0007     | 1.0005      | 1.0012       |
| USDT_BTC   | 44244      | 43500       | 46451        |
| USDT_ETH   | 3193.34    | 3132        | 3414.12      |
| USDT_XRP   | 1.04557    | 1.03451     | 1.12341      |
| USDT_LTC   | 223.153    | 171.835     | 223.153      |
| USDT_BCH   | 610.79     | 603.3       | 648.46       |
| SGD_USDT   | 1.3425     | 1.3405      | 1.3468       |
| AUD_USDT   | 1.362      | 1.3576      | 1.3652       |
| THB_GOLD   | 2272.01    | 2272        | 2302.97      |
| IDR_GOLD   | 825707     | 819624      | 836752       |
| USD_LINK   | 26.7067    | 25.8372     | 29.8301      |
| SGD_LINK   | 35.5234    | 34.6806     | 39.942       |
| AUD_LINK   | 36.0647    | 35.2075     | 40.5409      |
| IDR_LINK   | 384506     | 368884      | 427339       |
| THB_LINK   | 887.4933   | 850.1001    | 992.5244     |
| USD_USDC   | 0.99999    | 0.99828     | 1.00085      |
| SGD_USDC   | 1.34332    | 1.34032     | 1.34505      |
| AUD_USDC   | 1.35961    | 1.35515     | 1.36363      |
| IDR_USDC   | 14420      | 14323       | 14453        |
| THB_USDC   | 33.49839   | 33.11       | 33.52544     |
| USDT_LINK  | 26.4967    | 25.8756     | 29.7547      |
| USDT_OMG   | 8.397      | 8.1208      | 9.6871       |
| USDT_C8P   | 1.183874   | 1.181815    | 1.183874     |
| SGD_OMG    | 11.2666    | 10.7635     | 13.0359      |
| AUD_OMG    | 11.4307    | 11.0053     | 13.2048      |
| USD_OMG    | 8.4        | 8.1056      | 9.633        |
| IDR_OMG    | 120975     | 115314      | 139288       |
| USDT_XTZ   | 7.4681     | 6.3853      | 7.6519       |
| IDR_XTZ    | 108183     | 92375       | 108183       |
